as_of_date,invoice_id,customer_id,due_date,open_amount,currency,days_past_due,aging_bucket,is_disputed_open
2026-03-01,INV-100111,CUST-1196,2025-11-25,14106.45,USD,3,1-30,False
2026-03-01,INV-100112,CUST-1046,2025-10-22,63114.56,USD,41,31-60,False
2026-03-01,INV-100113,CUST-1152,2025-12-28,9023.78,USD,118,90+,False
2026-03-01,INV-100114,CUST-1193,2025-10-19,993.25,USD,25,1-30,True
2026-03-01,INV-100115,CUST-1009,2026-03-08,22447.25,USD,105,90+,False
2026-03-01,INV-100116,CUST-1055,2025-10-26,31828.56,USD,103,90+,False
2026-03-01,INV-100117,CUST-1029,2026-03-19,17051.38,USD,7,1-30,False
2026-03-01,INV-100118,CUST-1108,2026-03-18,30015.25,USD,72,61-90,False
2026-03-01,INV-100119,CUST-1004,2025-10-23,12852.78,USD,77,61-90,False
2026-03-01,INV-100120,CUST-1118,2025-11-16,7901.13,USD,147,90+,False
2026-03-01,INV-100121,CUST-1032,2025-10-13,28104.68,USD,65,61-90,False
2026-03-01,INV-100122,CUST-1117,2025-12-05,4917.27,USD,67,61-90,False
2026-03-01,INV-100123,CUST-1064,2026-02-21,38195.12,USD,98,90+,False
2026-03-01,INV-100124,CUST-1145,2025-12-12,26194.88,USD,77,61-90,False
2026-03-01,INV-100125,CUST-1176,2026-03-05,15419.15,USD,84,61-90,False
2026-03-01,INV-100126,CUST-1010,2025-12-16,45895.07,USD,78,61-90,False
2026-03-01,INV-100127,CUST-1084,2026-03-12,97098.1,USD,38,31-60,False
2026-03-01,INV-100128,CUST-1025,2026-03-18,150582.21,USD,49,31-60,False
2026-03-01,INV-100129,CUST-1062,2025-10-31,50762.49,USD,19,1-30,False
2026-03-01,INV-100130,CUST-1085,2025-12-24,58042.6,USD,69,61-90,False
2026-03-01,INV-100131,CUST-1058,2026-03-09,31714.86,USD,116,90+,False
2026-03-01,INV-100132,CUST-1026,2025-11-28,39710.69,USD,111,90+,False
2026-03-01,INV-100133,CUST-1176,2025-11-10,25263.48,USD,27,1-30,False
2026-03-01,INV-100134,CUST-1160,2026-01-20,47632.75,USD,118,90+,False
2026-03-01,INV-100135,CUST-1097,2026-01-04,65150.89,USD,97,90+,False
2026-03-01,INV-100136,CUST-1104,2026-03-17,13273.79,USD,72,61-90,False
2026-03-01,INV-100137,CUST-1098,2026-01-30,92663.79,USD,107,90+,False
2026-03-01,INV-100138,CUST-1128,2026-03-05,45424.02,USD,21,1-30,False
2026-03-01,INV-100139,CUST-1148,2026-03-14,29408.69,USD,4,1-30,False
2026-03-01,INV-100140,CUST-1054,2026-01-13,22678.49,USD,59,31-60,False
2026-03-01,INV-100141,CUST-1005,2025-12-13,24695.16,USD,113,90+,False
2026-03-01,INV-100142,CUST-1196,2026-02-09,41149.19,USD,97,90+,True
2026-03-01,INV-100143,CUST-1094,2026-01-07,34910.43,USD,44,31-60,False
2026-03-01,INV-100144,CUST-1132,2026-02-03,57381.78,USD,112,90+,False
2026-03-01,INV-100145,CUST-1101,2026-02-15,53541.72,USD,136,90+,False
2026-03-01,INV-100146,CUST-1002,2026-03-24,33038.42,USD,13,1-30,False
2026-03-01,INV-100147,CUST-1180,2025-12-14,12364.1,USD,68,61-90,False
2026-03-01,INV-100148,CUST-1022,2025-10-14,40162.8,USD,113,90+,False
2026-03-01,INV-100149,CUST-1052,2025-11-07,18274.77,USD,55,31-60,False
2026-03-01,INV-100150,CUST-1164,2026-02-17,7659.17,USD,110,90+,False
2026-03-01,INV-100151,CUST-1082,2025-11-14,39603.7,USD,90,61-90,True
2026-03-01,INV-100152,CUST-1144,2026-02-22,9814.45,USD,10,1-30,False
2026-03-01,INV-100153,CUST-1084,2026-03-12,17135.52,USD,114,90+,False
2026-03-01,INV-100154,CUST-1077,2025-12-14,11904.67,USD,100,90+,False
2026-03-01,INV-100155,CUST-1109,2026-03-18,35331.86,USD,97,90+,False
2026-03-01,INV-100156,CUST-1000,2025-10-29,37652.09,USD,114,90+,False
2026-03-01,INV-100157,CUST-1050,2025-10-18,71778.96,USD,79,61-90,False
2026-03-01,INV-100158,CUST-1172,2025-10-20,40445.42,USD,57,31-60,False
2026-03-01,INV-100159,CUST-1003,2025-10-14,65494.34,USD,29,1-30,False
2026-03-01,INV-100160,CUST-1189,2026-03-11,13226.17,USD,66,61-90,False
2026-03-01,INV-100161,CUST-1192,2026-03-26,73808.93,USD,28,1-30,False
2026-03-01,INV-100162,CUST-1112,2025-11-23,12427.06,USD,41,31-60,False
2026-03-01,INV-100163,CUST-1031,2025-10-31,9358.22,USD,118,90+,False
2026-03-01,INV-100164,CUST-1033,2025-11-27,39520.62,USD,61,61-90,False
2026-03-01,INV-100165,CUST-1091,2026-01-12,27626.88,USD,28,1-30,False
2026-03-01,INV-100166,CUST-1094,2026-03-19,25699.92,USD,28,1-30,False
2026-03-01,INV-100167,CUST-1071,2026-02-05,47357.48,USD,103,90+,False
2026-03-01,INV-100168,CUST-1038,2026-03-07,14085.09,USD,56,31-60,False
2026-03-01,INV-100169,CUST-1153,2025-10-25,48819.6,USD,54,31-60,False
2026-03-01,INV-100170,CUST-1161,2025-10-19,29119.17,USD,115,90+,False
2026-03-01,INV-100171,CUST-1181,2026-02-13,64214.13,USD,127,90+,False
2026-03-01,INV-100172,CUST-1117,2025-10-03,12671.49,USD,76,61-90,False
2026-03-01,INV-100173,CUST-1002,2025-12-25,13419.15,USD,68,61-90,False
2026-03-01,INV-100174,CUST-1122,2026-02-22,103031.3,USD,57,31-60,False
2026-03-01,INV-100175,CUST-1049,2026-02-19,42597.21,USD,84,61-90,False
2026-03-01,INV-100176,CUST-1011,2025-10-09,23234.49,USD,68,61-90,False
2026-03-01,INV-100177,CUST-1192,2026-01-02,68046.86,USD,100,90+,False
2026-03-01,INV-100178,CUST-1053,2026-02-26,81507.88,USD,35,31-60,False
2026-03-01,INV-100179,CUST-1132,2026-03-14,20723.14,USD,127,90+,False
2026-03-01,INV-100180,CUST-1056,2026-02-16,34998.38,USD,86,61-90,False
2026-03-01,INV-100181,CUST-1144,2025-10-20,113527.1,USD,73,61-90,False
2026-03-01,INV-100182,CUST-1111,2025-11-04,16588.35,USD,92,90+,False
2026-03-01,INV-100183,CUST-1046,2025-11-22,17366.48,USD,98,90+,False
2026-03-01,INV-100184,CUST-1150,2026-03-24,39130.66,USD,23,1-30,False
2026-03-01,INV-100185,CUST-1084,2026-01-18,12366.86,USD,86,61-90,False
2026-03-01,INV-100186,CUST-1141,2026-03-29,34972.91,USD,66,61-90,False
2026-03-01,INV-100187,CUST-1065,2026-02-13,32846.49,USD,141,90+,False
2026-03-01,INV-100188,CUST-1074,2025-10-04,11606.06,USD,67,61-90,False
2026-03-01,INV-100189,CUST-1178,2026-03-04,22906.69,USD,105,90+,False
2026-03-01,INV-100190,CUST-1102,2026-03-21,110046.85,USD,118,90+,False
2026-03-01,INV-100191,CUST-1165,2026-03-17,42462.17,USD,31,31-60,False
2026-03-01,INV-100192,CUST-1191,2026-01-10,13515.14,USD,119,90+,False
2026-03-01,INV-100193,CUST-1037,2025-11-16,28621.21,USD,144,90+,False
2026-03-01,INV-100194,CUST-1049,2026-01-02,65671.64,USD,129,90+,False
2026-03-01,INV-100195,CUST-1097,2026-03-21,33218.01,USD,77,61-90,False
2026-03-01,INV-100196,CUST-1081,2025-11-17,42889.24,USD,37,31-60,False
2026-03-01,INV-100197,CUST-1029,2025-12-30,56070.94,USD,54,31-60,False
2026-03-01,INV-100198,CUST-1078,2026-03-29,103291.33,USD,33,31-60,False
2026-03-01,INV-100199,CUST-1090,2025-12-23,38756.31,USD,45,31-60,False
2026-03-01,INV-100200,CUST-1178,2025-12-07,37571.38,USD,129,90+,False
2026-03-01,INV-100201,CUST-1190,2026-02-16,42302.01,USD,69,61-90,False
2026-03-01,INV-100202,CUST-1051,2026-02-02,68389.04,USD,35,31-60,False
2026-03-01,INV-100203,CUST-1165,2025-12-12,24057.55,USD,149,90+,False
2026-03-01,INV-100204,CUST-1078,2025-10-04,22879.15,USD,68,61-90,False
2026-03-01,INV-100205,CUST-1029,2025-12-15,62325.63,USD,104,90+,False
2026-03-01,INV-100206,CUST-1105,2025-12-12,75783.15,USD,53,31-60,False
2026-03-01,INV-100207,CUST-1050,2025-12-16,59571.49,USD,149,90+,True
2026-03-01,INV-100208,CUST-1080,2025-11-17,50058.87,USD,111,90+,False
2026-03-01,INV-100209,CUST-1132,2026-03-03,51681.98,USD,106,90+,False
2026-03-01,INV-100210,CUST-1028,2026-01-10,64466.67,USD,52,31-60,False
2026-03-01,INV-100211,CUST-1131,2026-01-14,32857.71,USD,116,90+,False
2026-03-01,INV-100212,CUST-1137,2025-12-16,51748.75,USD,105,90+,False
2026-03-01,INV-100213,CUST-1183,2025-11-08,62264.02,USD,92,90+,False
2026-03-01,INV-100214,CUST-1144,2025-11-27,20464.6,USD,58,31-60,False
2026-03-01,INV-100215,CUST-1073,2025-10-19,96271.33,USD,96,90+,False
2026-03-01,INV-100216,CUST-1016,2025-12-27,54761.07,USD,85,61-90,False
2026-03-01,INV-100217,CUST-1083,2026-01-21,52962.2,USD,26,1-30,False
2026-03-01,INV-100218,CUST-1068,2025-12-16,19436.2,USD,71,61-90,True
2026-03-01,INV-100219,CUST-1033,2025-12-16,58447.72,USD,121,90+,False
2026-03-01,INV-100220,CUST-1005,2025-10-28,44195.72,USD,133,90+,False
2026-03-01,INV-100221,CUST-1052,2025-12-05,73149.4,USD,24,1-30,False
2026-03-01,INV-100222,CUST-1193,2025-10-10,21229.91,USD,97,90+,False
2026-03-01,INV-100223,CUST-1125,2026-02-03,17808.54,USD,136,90+,False
2026-03-01,INV-100224,CUST-1042,2025-11-27,49931.44,USD,63,61-90,False
2026-03-01,INV-100225,CUST-1114,2026-02-19,30384.15,USD,146,90+,False
2026-03-01,INV-100226,CUST-1110,2026-02-02,45181.95,USD,112,90+,False
2026-03-01,INV-100227,CUST-1150,2026-01-20,23563.96,USD,64,61-90,False
2026-03-01,INV-100228,CUST-1182,2025-12-23,27664.44,USD,97,90+,False
2026-03-01,INV-100229,CUST-1079,2026-02-20,87232.61,USD,144,90+,False
2026-03-01,INV-100230,CUST-1094,2026-01-04,52471.27,USD,33,31-60,False
2026-03-01,INV-100231,CUST-1117,2025-11-02,115373.25,USD,140,90+,False
2026-03-01,INV-100232,CUST-1143,2026-02-22,55702.77,USD,58,31-60,False
2026-03-01,INV-100233,CUST-1007,2026-03-01,37773.71,USD,88,61-90,False
2026-03-01,INV-100234,CUST-1131,2026-03-07,60905.2,USD,75,61-90,False
2026-03-01,INV-100235,CUST-1103,2026-02-18,56214.87,USD,148,90+,False
2026-03-01,INV-100236,CUST-1131,2025-11-16,38694.24,USD,100,90+,False
2026-03-01,INV-100237,CUST-1183,2026-01-20,34459.15,USD,109,90+,True
2026-03-01,INV-100238,CUST-1024,2026-02-21,51893.72,USD,5,1-30,False
2026-03-01,INV-100239,CUST-1194,2025-11-12,26101.2,USD,108,90+,True
2026-03-01,INV-100240,CUST-1095,2025-10-08,22845.66,USD,10,1-30,True
2026-03-01,INV-100241,CUST-1194,2025-10-03,6610.0,USD,79,61-90,False
2026-03-01,INV-100242,CUST-1154,2026-02-02,15520.51,USD,149,90+,False
2026-03-01,INV-100243,CUST-1092,2025-10-12,98760.54,USD,138,90+,False
2026-03-01,INV-100244,CUST-1159,2025-12-23,12445.71,USD,25,1-30,False
2026-03-01,INV-100245,CUST-1177,2025-10-16,122325.87,USD,105,90+,False
2026-03-01,INV-100246,CUST-1060,2025-12-17,61806.83,USD,148,90+,False
2026-03-01,INV-100247,CUST-1121,2025-11-28,119235.96,USD,14,1-30,False
2026-03-01,INV-100248,CUST-1050,2026-03-26,134649.69,USD,102,90+,False
2026-03-01,INV-100249,CUST-1146,2025-12-02,30265.07,USD,138,90+,False
2026-03-01,INV-100250,CUST-1020,2025-11-18,27589.89,USD,105,90+,False
2026-03-01,INV-100251,CUST-1004,2025-11-20,2963.66,USD,67,61-90,False
2026-03-01,INV-100252,CUST-1091,2025-11-02,20862.34,USD,88,61-90,False
2026-03-01,INV-100253,CUST-1169,2025-10-30,3684.32,USD,28,1-30,False
2026-03-01,INV-100254,CUST-1060,2025-12-15,4139.24,USD,63,61-90,False
2026-03-01,INV-100255,CUST-1021,2025-10-15,14952.48,USD,95,90+,True
2026-03-01,INV-100256,CUST-1148,2025-12-21,25925.24,USD,27,1-30,True
2026-03-01,INV-100257,CUST-1069,2025-12-31,47275.76,USD,83,61-90,False
2026-03-01,INV-100258,CUST-1000,2025-10-23,27521.03,USD,22,1-30,True
2026-03-01,INV-100259,CUST-1132,2026-01-02,27894.97,USD,38,31-60,False
2026-03-01,INV-100260,CUST-1011,2025-11-14,39648.09,USD,68,61-90,False
2026-03-01,INV-100261,CUST-1089,2025-12-01,28190.01,USD,20,1-30,False
2026-03-01,INV-100262,CUST-1045,2025-10-15,97217.7,USD,119,90+,False
2026-03-01,INV-100263,CUST-1033,2025-11-15,20900.36,USD,85,61-90,False
2026-03-01,INV-100264,CUST-1176,2025-12-03,29058.17,USD,93,90+,False
2026-03-01,INV-100265,CUST-1077,2026-03-23,43186.62,USD,91,90+,False
2026-03-01,INV-100266,CUST-1044,2026-03-21,42113.9,USD,80,61-90,False
2026-03-01,INV-100267,CUST-1154,2025-12-14,24847.21,USD,84,61-90,True
2026-03-01,INV-100268,CUST-1072,2026-03-06,36995.75,USD,126,90+,False
2026-03-01,INV-100269,CUST-1025,2025-11-21,22039.07,USD,87,61-90,False
2026-03-01,INV-100270,CUST-1046,2025-12-27,39521.67,USD,93,90+,False
2026-03-01,INV-100271,CUST-1120,2025-11-26,65403.44,USD,127,90+,False
2026-03-01,INV-100272,CUST-1055,2025-12-22,28243.2,USD,41,31-60,False
2026-03-01,INV-100273,CUST-1093,2025-12-05,36815.41,USD,98,90+,False
2026-03-01,INV-100274,CUST-1106,2026-02-27,25259.05,USD,133,90+,False
2026-03-01,INV-100275,CUST-1062,2025-10-20,20764.36,USD,135,90+,False
2026-03-01,INV-100276,CUST-1047,2025-11-02,42031.56,USD,68,61-90,False
2026-03-01,INV-100277,CUST-1060,2025-12-11,10370.85,USD,39,31-60,True
2026-03-01,INV-100278,CUST-1080,2025-10-25,18636.62,USD,137,90+,False
2026-03-01,INV-100279,CUST-1025,2025-11-15,72805.33,USD,30,1-30,False
2026-03-01,INV-100280,CUST-1035,2025-12-12,11218.87,USD,29,1-30,False
2026-03-01,INV-100281,CUST-1000,2026-01-06,59480.82,USD,84,61-90,False
2026-03-01,INV-100282,CUST-1007,2025-11-26,59490.32,USD,60,31-60,False
2026-03-01,INV-100283,CUST-1112,2025-12-26,31210.5,USD,26,1-30,False
2026-03-01,INV-100284,CUST-1098,2026-02-10,29097.19,USD,34,31-60,False
2026-03-01,INV-100285,CUST-1179,2025-11-24,25177.82,USD,59,31-60,False
2026-03-01,INV-100286,CUST-1046,2025-11-30,43858.57,USD,31,31-60,False
2026-03-01,INV-100287,CUST-1126,2025-12-28,24487.83,USD,89,61-90,False
2026-03-01,INV-100288,CUST-1055,2025-10-08,47536.0,USD,131,90+,True
2026-03-01,INV-100289,CUST-1013,2025-10-16,14653.85,USD,90,61-90,False
2026-03-01,INV-100290,CUST-1027,2026-03-25,70835.62,USD,99,90+,False
2026-03-01,INV-100291,CUST-1077,2026-01-24,49732.06,USD,26,1-30,False
2026-03-01,INV-100292,CUST-1129,2025-11-30,922.56,USD,46,31-60,False
2026-03-01,INV-100293,CUST-1108,2025-10-15,68876.17,USD,133,90+,False
2026-03-01,INV-100294,CUST-1153,2026-02-27,65473.2,USD,25,1-30,False
2026-03-01,INV-100295,CUST-1013,2026-02-08,76759.0,USD,23,1-30,False
2026-03-01,INV-100296,CUST-1186,2026-01-10,52726.44,USD,118,90+,False
2026-03-01,INV-100297,CUST-1055,2025-11-23,53447.3,USD,43,31-60,False
2026-03-01,INV-100298,CUST-1114,2025-10-14,10584.93,USD,141,90+,False
2026-03-01,INV-100299,CUST-1006,2025-11-05,9878.09,USD,140,90+,False
2026-03-01,INV-100300,CUST-1002,2026-01-13,62176.35,USD,42,31-60,False
2026-03-01,INV-100301,CUST-1110,2025-12-21,42311.58,USD,42,31-60,False
2026-03-01,INV-100302,CUST-1150,2025-12-06,3348.01,USD,65,61-90,False
2026-03-01,INV-100303,CUST-1106,2025-10-10,40220.49,USD,109,90+,False
2026-03-01,INV-100304,CUST-1017,2025-11-18,10325.5,USD,110,90+,False
2026-03-01,INV-100305,CUST-1037,2026-01-19,6351.02,USD,0,Current,False
2026-03-01,INV-100306,CUST-1114,2025-12-04,117814.96,USD,139,90+,True
2026-03-01,INV-100307,CUST-1014,2025-11-26,14056.02,USD,109,90+,False
2026-03-01,INV-100308,CUST-1191,2025-10-27,6144.5,USD,59,31-60,False
2026-03-01,INV-100309,CUST-1118,2026-01-21,70918.86,USD,25,1-30,False
2026-03-01,INV-100310,CUST-1027,2026-02-10,11607.71,USD,56,31-60,False
2026-03-01,INV-100311,CUST-1038,2025-12-10,61267.96,USD,139,90+,False
2026-03-01,INV-100312,CUST-1184,2025-12-22,45765.17,USD,132,90+,False
2026-03-01,INV-100313,CUST-1016,2025-11-26,41655.16,USD,134,90+,False
2026-03-01,INV-100314,CUST-1085,2026-01-28,12062.29,USD,143,90+,False
2026-03-01,INV-100315,CUST-1125,2026-01-01,28233.41,USD,51,31-60,False
2026-03-01,INV-100316,CUST-1043,2025-10-15,28540.0,USD,80,61-90,False
2026-03-01,INV-100317,CUST-1024,2026-01-19,27850.28,USD,148,90+,False
2026-03-01,INV-100318,CUST-1144,2026-01-09,69944.07,USD,26,1-30,False
2026-03-01,INV-100319,CUST-1012,2026-01-27,27685.34,USD,110,90+,False
2026-03-01,INV-100320,CUST-1024,2025-12-15,54581.32,USD,115,90+,False
2026-03-01,INV-100321,CUST-1067,2026-03-07,37322.68,USD,78,61-90,False
2026-03-01,INV-100322,CUST-1137,2025-10-20,11709.09,USD,22,1-30,False
2026-03-01,INV-100323,CUST-1066,2026-03-14,52298.64,USD,126,90+,False
2026-03-01,INV-100324,CUST-1108,2026-02-08,57644.01,USD,24,1-30,False
2026-03-01,INV-100325,CUST-1145,2025-12-12,23511.9,USD,138,90+,False
