payment_id,customer_id,invoice_id,payment_date,amount,payment_method,status
PAY-36,CUST-1171,INV-104738,2026-01-13,19598.45,Check,Partial
PAY-37,CUST-1167,INV-103578,2026-01-31,26199.32,ACH,Completed
PAY-38,CUST-1138,INV-104784,2026-01-05,12305.65,Wire,Completed
PAY-39,CUST-1108,INV-105559,2026-03-01,12656.65,Wire,Completed
PAY-40,CUST-1138,INV-101752,2026-02-28,18905.78,Wire,Completed
PAY-41,CUST-1099,INV-100699,2026-01-04,42063.34,Wire,Completed
PAY-42,CUST-1101,INV-103317,2026-01-03,25749.98,Wire,Partial
PAY-43,CUST-1030,INV-100352,2026-01-30,36115.06,Check,Partial
PAY-44,CUST-1187,INV-107165,2026-01-23,27729.65,ACH,Completed
PAY-45,CUST-1054,INV-108062,2026-02-06,24076.59,Wire,Completed
PAY-46,CUST-1151,INV-108668,2026-01-18,32964.18,Wire,Partial
PAY-47,CUST-1061,INV-109618,2026-02-04,17158.54,Check,Completed
PAY-48,CUST-1146,INV-104090,2026-01-05,22863.9,ACH,Completed
PAY-49,CUST-1095,INV-106809,2026-02-10,10764.15,ACH,Completed
PAY-50,CUST-1039,INV-106134,2026-01-28,28111.38,ACH,Partial
PAY-51,CUST-1101,INV-101069,2026-02-07,17103.76,ACH,Completed
PAY-52,CUST-1016,INV-100861,2026-02-16,11782.5,ACH,Completed
PAY-53,CUST-1177,INV-100085,2026-02-28,10871.32,Check,Completed
PAY-54,CUST-1098,INV-106890,2026-01-18,61492.13,Wire,Completed
PAY-55,CUST-1011,INV-102641,2026-01-08,13117.34,ACH,Completed
PAY-56,CUST-1142,INV-106020,2026-01-12,39127.97,ACH,Completed
PAY-57,CUST-1166,INV-109441,2026-01-30,32448.8,Wire,Completed
PAY-58,CUST-1012,INV-105265,2026-01-22,25731.03,Wire,Completed
PAY-59,CUST-1093,INV-107421,2026-01-06,42302.13,ACH,Partial
PAY-60,CUST-1105,INV-107689,2026-01-30,37558.47,Check,Partial
PAY-61,CUST-1018,INV-106785,2026-01-08,37947.28,Wire,Partial
PAY-62,CUST-1056,INV-106106,2026-02-24,64213.47,Wire,Partial
PAY-63,CUST-1091,INV-106588,2026-02-16,77915.85,Check,Partial
PAY-64,CUST-1059,INV-109077,2026-02-17,32010.99,Wire,Completed
PAY-65,CUST-1183,INV-105525,2026-01-29,17682.22,Wire,Completed
PAY-66,CUST-1152,INV-103977,2026-01-31,27240.02,ACH,Partial
PAY-67,CUST-1103,INV-103386,2026-01-05,10247.12,Wire,Completed
PAY-68,CUST-1131,INV-104075,2026-01-11,67502.86,Wire,Partial
PAY-69,CUST-1179,INV-108254,2026-02-26,25482.9,Check,Partial
PAY-70,CUST-1126,INV-101777,2026-01-17,112821.64,Wire,Partial
PAY-71,CUST-1100,INV-104030,2026-01-13,17498.51,Check,Completed
PAY-72,CUST-1134,INV-103205,2026-01-20,7979.9,Check,Completed
PAY-73,CUST-1067,INV-100815,2026-01-31,51779.24,Check,Completed
PAY-74,CUST-1086,INV-109742,2026-01-26,46086.24,Wire,Completed
PAY-75,CUST-1107,INV-106856,2026-01-28,41323.51,Check,Partial
PAY-76,CUST-1197,INV-106031,2026-02-28,12770.4,ACH,Completed
PAY-77,CUST-1172,INV-102209,2026-01-25,18344.15,Wire,Partial
PAY-78,CUST-1136,INV-103069,2026-02-17,21385.66,Wire,Completed
PAY-79,CUST-1120,INV-108618,2026-01-18,22367.77,Check,Partial
PAY-80,CUST-1008,INV-108215,2026-02-14,19577.38,Check,Partial
PAY-81,CUST-1130,INV-105093,2026-02-01,23890.13,Check,Partial
PAY-82,CUST-1076,INV-105221,2026-01-29,11448.15,Check,Partial
PAY-83,CUST-1062,INV-101304,2026-01-03,48877.27,ACH,Partial
PAY-84,CUST-1118,INV-103947,2026-02-04,38449.47,Wire,Completed
PAY-85,CUST-1092,INV-107933,2026-02-07,44227.77,Check,Partial
PAY-86,CUST-1129,INV-104394,2026-01-15,29946.94,ACH,Completed
PAY-87,CUST-1158,INV-103078,2026-02-20,50046.27,Check,Completed
PAY-88,CUST-1037,INV-107098,2026-01-03,4419.11,ACH,Completed
PAY-89,CUST-1006,INV-107706,2026-01-21,6987.33,Wire,Partial
PAY-90,CUST-1103,INV-108739,2026-01-03,31721.93,ACH,Completed
PAY-91,CUST-1137,INV-106120,2026-02-22,28682.68,Check,Completed
PAY-92,CUST-1076,INV-105522,2026-02-04,15114.41,Wire,Partial
PAY-93,CUST-1186,INV-107352,2026-02-19,41302.63,Check,Partial
PAY-94,CUST-1000,INV-102275,2026-01-08,13018.0,Wire,Partial
PAY-95,CUST-1036,INV-107236,2026-02-17,27399.83,Check,Completed
PAY-96,CUST-1152,INV-100196,2026-01-03,53154.61,ACH,Completed
PAY-97,CUST-1093,INV-109729,2026-02-23,18969.75,Wire,Partial
PAY-98,CUST-1065,INV-109322,2026-01-11,10743.73,ACH,Partial
PAY-99,CUST-1099,INV-107313,2026-02-17,87521.69,ACH,Partial
PAY-100,CUST-1075,INV-103231,2026-01-02,36450.37,Check,Completed
PAY-101,CUST-1004,INV-100368,2026-02-02,37404.79,Wire,Completed
PAY-102,CUST-1055,INV-103228,2026-01-08,38750.28,ACH,Completed
PAY-103,CUST-1041,INV-109008,2026-01-12,11784.42,Check,Partial
PAY-104,CUST-1191,INV-101491,2026-01-19,40125.86,Check,Completed
PAY-105,CUST-1048,INV-107027,2026-01-18,31293.17,ACH,Completed
PAY-106,CUST-1045,INV-100719,2026-02-19,71075.27,ACH,Partial
PAY-107,CUST-1070,INV-102762,2026-01-21,34865.23,ACH,Completed
PAY-108,CUST-1001,INV-104734,2026-01-22,14945.33,Check,Completed
PAY-109,CUST-1066,INV-108987,2026-02-12,24031.56,Wire,Completed
PAY-110,CUST-1131,INV-102202,2026-01-30,2443.9,Check,Completed
PAY-111,CUST-1061,INV-103207,2026-01-18,8295.63,ACH,Partial
PAY-112,CUST-1111,INV-102503,2026-01-06,24608.02,Check,Partial
PAY-113,CUST-1079,INV-105782,2026-01-01,19691.9,Wire,Partial
PAY-114,CUST-1026,INV-106175,2026-01-09,60387.66,Check,Partial
PAY-115,CUST-1085,INV-105134,2026-02-21,88209.8,Check,Completed
PAY-116,CUST-1066,INV-101882,2026-01-16,23931.84,Check,Partial
PAY-117,CUST-1112,INV-109594,2026-01-29,24894.17,Check,Partial
PAY-118,CUST-1121,INV-101987,2026-01-29,34064.18,Check,Partial
PAY-119,CUST-1144,INV-108287,2026-01-05,58769.09,ACH,Partial
PAY-120,CUST-1179,INV-100814,2026-01-19,9000.06,Wire,Completed
PAY-121,CUST-1070,INV-102660,2026-01-22,19356.18,ACH,Completed
PAY-122,CUST-1056,INV-109333,2026-02-18,12725.61,Check,Completed
PAY-123,CUST-1029,INV-102569,2026-02-24,9835.41,Check,Completed
PAY-124,CUST-1199,INV-107347,2026-01-08,5572.59,Check,Partial
PAY-125,CUST-1198,INV-105343,2026-02-20,20478.45,Wire,Partial
PAY-126,CUST-1192,INV-107421,2026-01-18,117683.03,ACH,Partial
PAY-127,CUST-1143,INV-104018,2026-02-13,2631.32,ACH,Partial
PAY-128,CUST-1113,INV-100974,2026-02-17,21177.29,Check,Completed
PAY-129,CUST-1121,INV-101861,2026-01-14,76915.84,ACH,Completed
PAY-130,CUST-1103,INV-100648,2026-01-04,10411.19,Wire,Partial
PAY-131,CUST-1102,INV-108933,2026-02-09,14257.11,ACH,Completed
PAY-132,CUST-1154,INV-101576,2026-01-27,29260.34,Check,Partial
PAY-133,CUST-1073,INV-102599,2026-01-24,17819.45,ACH,Partial
PAY-134,CUST-1097,INV-104879,2026-01-30,10976.57,ACH,Partial
PAY-135,CUST-1174,INV-101787,2026-01-12,104375.19,ACH,Completed
PAY-136,CUST-1013,INV-100137,2026-02-12,49439.22,ACH,Completed
PAY-137,CUST-1129,INV-102056,2026-01-13,16919.25,Wire,Partial
PAY-138,CUST-1166,INV-101831,2026-02-09,25986.07,Check,Completed
PAY-139,CUST-1054,INV-108760,2026-02-19,12870.28,ACH,Partial
PAY-140,CUST-1025,INV-104726,2026-02-14,71650.55,ACH,Completed
PAY-141,CUST-1043,INV-105894,2026-01-04,4999.33,ACH,Partial
PAY-142,CUST-1068,INV-104266,2026-01-26,36083.99,Wire,Partial
PAY-143,CUST-1037,INV-109075,2026-01-01,113869.16,Check,Completed
PAY-144,CUST-1079,INV-104607,2026-01-27,18833.21,Wire,Completed
PAY-145,CUST-1011,INV-107678,2026-01-23,46743.0,Check,Partial
PAY-146,CUST-1104,INV-104470,2026-02-11,10314.03,ACH,Partial
PAY-147,CUST-1107,INV-101895,2026-02-07,46269.24,Check,Partial
PAY-148,CUST-1016,INV-108395,2026-01-11,33807.48,Check,Completed
PAY-149,CUST-1024,INV-104152,2026-02-08,29616.32,Check,Completed
PAY-150,CUST-1191,INV-100656,2026-02-11,21430.43,ACH,Partial
PAY-151,CUST-1087,INV-109240,2026-02-13,16562.61,Wire,Completed
PAY-152,CUST-1138,INV-103462,2026-01-21,11261.86,ACH,Completed
PAY-153,CUST-1145,INV-103126,2026-01-22,64121.52,Wire,Partial
PAY-154,CUST-1163,INV-103024,2026-01-28,18204.15,Wire,Partial
PAY-155,CUST-1002,INV-103743,2026-02-07,34845.56,Wire,Partial
PAY-156,CUST-1082,INV-100071,2026-01-06,29476.49,Wire,Partial
PAY-157,CUST-1069,INV-105653,2026-01-25,44870.56,Wire,Partial
PAY-158,CUST-1086,INV-100749,2026-01-04,65443.43,ACH,Completed
PAY-159,CUST-1070,INV-100952,2026-02-03,16174.56,ACH,Partial
PAY-160,CUST-1110,INV-106279,2026-02-26,63632.86,Wire,Completed
PAY-161,CUST-1107,INV-104612,2026-01-26,27143.23,Check,Partial
PAY-162,CUST-1008,INV-104122,2026-02-08,12802.05,ACH,Partial
PAY-163,CUST-1193,INV-104179,2026-02-22,31060.72,Wire,Completed
PAY-164,CUST-1127,INV-106026,2026-02-23,16162.94,Wire,Completed
PAY-165,CUST-1121,INV-105171,2026-01-27,22989.22,Check,Completed
PAY-166,CUST-1046,INV-100073,2026-02-08,31254.56,Check,Completed
PAY-167,CUST-1177,INV-102059,2026-01-21,28346.9,Wire,Partial
PAY-168,CUST-1063,INV-109551,2026-01-21,25546.53,Check,Completed
PAY-169,CUST-1108,INV-101277,2026-02-23,50755.39,ACH,Completed
PAY-170,CUST-1111,INV-104698,2026-02-25,40412.8,Wire,Completed
PAY-171,CUST-1046,INV-109193,2026-01-29,52377.8,ACH,Completed
PAY-172,CUST-1074,INV-101127,2026-02-03,16085.93,Wire,Completed
PAY-173,CUST-1194,INV-100602,2026-01-27,16083.93,ACH,Partial
PAY-174,CUST-1124,INV-106458,2026-02-11,55796.14,Wire,Completed
PAY-175,CUST-1041,INV-101524,2026-02-26,23924.5,ACH,Completed
PAY-176,CUST-1048,INV-105291,2026-02-15,35470.94,Check,Completed
PAY-177,CUST-1029,INV-109898,2026-01-26,16083.03,Wire,Completed
PAY-178,CUST-1007,INV-101166,2026-01-05,23634.28,Wire,Partial
PAY-179,CUST-1164,INV-101932,2026-01-20,57184.79,Wire,Partial
PAY-180,CUST-1084,INV-109952,2026-01-08,8901.63,Wire,Partial
PAY-181,CUST-1007,INV-104292,2026-02-21,26174.2,ACH,Completed
PAY-182,CUST-1190,INV-108856,2026-01-18,69078.53,Wire,Partial
PAY-183,CUST-1127,INV-106333,2026-02-22,17480.65,Check,Partial
PAY-184,CUST-1010,INV-100962,2026-01-05,14275.41,ACH,Partial
PAY-185,CUST-1120,INV-109244,2026-01-04,13112.98,Wire,Completed
PAY-186,CUST-1185,INV-109180,2026-02-20,42151.03,Wire,Completed
PAY-187,CUST-1120,INV-106698,2026-02-12,35926.14,ACH,Partial
PAY-188,CUST-1161,INV-100087,2026-01-05,36804.12,ACH,Partial
PAY-189,CUST-1166,INV-104951,2026-01-16,61667.37,Wire,Completed
PAY-190,CUST-1143,INV-108664,2026-01-09,18303.22,ACH,Completed
PAY-191,CUST-1070,INV-102468,2026-01-25,36601.92,Check,Completed
PAY-192,CUST-1131,INV-106212,2026-02-26,38404.0,Wire,Completed
PAY-193,CUST-1095,INV-104874,2026-02-07,30168.44,Wire,Partial
PAY-194,CUST-1100,INV-103495,2026-01-08,28313.98,ACH,Partial
PAY-195,CUST-1173,INV-108042,2026-01-01,29101.9,Check,Partial
PAY-196,CUST-1021,INV-100246,2026-01-31,32381.17,Check,Partial
PAY-197,CUST-1198,INV-102878,2026-02-02,31183.96,Wire,Partial
PAY-198,CUST-1012,INV-106131,2026-02-24,42775.63,Check,Partial
PAY-199,CUST-1081,INV-104494,2026-03-01,35844.4,Check,Completed
PAY-200,CUST-1169,INV-103976,2026-01-05,14716.98,Check,Partial
PAY-201,CUST-1161,INV-109713,2026-01-18,54503.83,Wire,Partial
PAY-202,CUST-1012,INV-100325,2026-02-05,14885.1,Wire,Completed
PAY-203,CUST-1156,INV-108793,2026-02-17,42620.7,Check,Partial
PAY-204,CUST-1125,INV-100810,2026-01-20,32522.48,Check,Completed
PAY-205,CUST-1174,INV-108595,2026-02-23,33725.18,Wire,Partial
PAY-206,CUST-1196,INV-106780,2026-01-24,57233.72,Wire,Partial
PAY-207,CUST-1094,INV-105986,2026-01-19,37369.6,ACH,Completed
PAY-208,CUST-1010,INV-105546,2026-01-28,23404.86,ACH,Completed
PAY-209,CUST-1062,INV-106845,2026-03-01,34304.73,Check,Completed
PAY-210,CUST-1101,INV-104689,2026-01-30,16563.01,Wire,Partial
PAY-211,CUST-1050,INV-102274,2026-02-08,13014.81,Wire,Partial
PAY-212,CUST-1187,INV-102227,2026-01-15,15119.29,Wire,Completed
PAY-213,CUST-1046,INV-103017,2026-02-19,38525.15,Check,Completed
PAY-214,CUST-1003,INV-108089,2026-01-09,9675.58,ACH,Partial
PAY-215,CUST-1006,INV-107133,2026-03-01,10519.57,Wire,Completed
PAY-216,CUST-1086,INV-101438,2026-02-08,24818.6,Wire,Completed
PAY-217,CUST-1030,INV-103384,2026-01-31,54093.34,ACH,Completed
PAY-218,CUST-1117,INV-100663,2026-01-01,28897.43,Wire,Completed
PAY-219,CUST-1085,INV-108345,2026-01-13,23435.31,Wire,Completed
PAY-220,CUST-1029,INV-100732,2026-02-05,15573.66,ACH,Partial
PAY-221,CUST-1156,INV-100805,2026-01-02,5709.34,ACH,Partial
PAY-222,CUST-1042,INV-104217,2026-02-11,78749.13,Wire,Completed
PAY-223,CUST-1084,INV-108373,2026-02-06,16040.8,Wire,Completed
PAY-224,CUST-1149,INV-108072,2026-02-26,33065.86,Wire,Completed
PAY-225,CUST-1175,INV-103679,2026-02-04,23606.35,ACH,Partial
PAY-226,CUST-1103,INV-104068,2026-02-06,70483.92,Wire,Partial
PAY-227,CUST-1175,INV-101703,2026-01-11,12045.12,ACH,Partial
PAY-228,CUST-1111,INV-108529,2026-02-27,22662.5,Wire,Partial
PAY-229,CUST-1184,INV-106246,2026-01-18,29780.34,Check,Partial
PAY-230,CUST-1149,INV-105301,2026-01-20,6651.99,Wire,Completed
PAY-231,CUST-1154,INV-106770,2026-01-02,44074.76,Wire,Partial
PAY-232,CUST-1062,INV-107018,2026-01-24,23211.21,Wire,Completed
PAY-233,CUST-1003,INV-103298,2026-02-24,44834.0,Check,Completed
PAY-234,CUST-1089,INV-100727,2026-01-16,24771.41,ACH,Completed
PAY-235,CUST-1121,INV-104958,2026-01-23,12556.17,Wire,Partial
PAY-236,CUST-1002,INV-102937,2026-02-24,43192.52,ACH,Completed
PAY-237,CUST-1080,INV-104023,2026-02-26,15665.93,ACH,Completed
PAY-238,CUST-1167,INV-102013,2026-02-19,45610.73,Check,Partial
PAY-239,CUST-1082,INV-101833,2026-02-07,30038.22,Check,Completed
PAY-240,CUST-1081,INV-109691,2026-02-16,32427.32,Wire,Partial
PAY-241,CUST-1155,INV-109099,2026-02-13,40633.21,Wire,Partial
PAY-242,CUST-1116,INV-105667,2026-01-29,21447.41,Check,Completed
PAY-243,CUST-1142,INV-106007,2026-01-30,47729.85,Check,Completed
PAY-244,CUST-1050,INV-102010,2026-01-04,32137.73,Wire,Completed
PAY-245,CUST-1153,INV-102249,2026-01-29,42535.1,Wire,Completed
PAY-246,CUST-1034,INV-108855,2026-02-13,45413.5,ACH,Completed
PAY-247,CUST-1125,INV-108519,2026-02-27,72227.4,Wire,Partial
PAY-248,CUST-1079,INV-109040,2026-02-12,6498.09,Check,Partial
PAY-249,CUST-1014,INV-108456,2026-02-23,20178.13,ACH,Completed
PAY-250,CUST-1132,INV-101466,2026-02-10,37462.42,ACH,Partial
PAY-251,CUST-1173,INV-108445,2026-01-27,7922.44,ACH,Completed
PAY-252,CUST-1023,INV-109285,2026-02-02,19965.43,ACH,Completed
PAY-253,CUST-1001,INV-105654,2026-01-18,26279.84,ACH,Completed
PAY-254,CUST-1186,INV-101236,2026-01-06,9403.11,ACH,Partial
PAY-255,CUST-1163,INV-100609,2026-02-01,48125.34,Check,Completed
PAY-256,CUST-1044,INV-102033,2026-01-31,48353.43,Check,Completed
PAY-257,CUST-1094,INV-103194,2026-01-12,4611.74,Wire,Partial
PAY-258,CUST-1093,INV-106680,2026-03-01,28334.16,Check,Completed
PAY-259,CUST-1122,INV-108741,2026-01-23,15692.01,Check,Partial
PAY-260,CUST-1036,INV-101218,2026-01-29,39334.01,Wire,Completed
PAY-261,CUST-1117,INV-109705,2026-01-03,36269.28,ACH,Completed
PAY-262,CUST-1184,INV-104294,2026-02-02,19730.89,Check,Partial
PAY-263,CUST-1084,INV-102189,2026-02-08,122946.96,Check,Completed
PAY-264,CUST-1139,INV-109456,2026-01-28,50253.04,ACH,Partial
PAY-265,CUST-1121,INV-105328,2026-01-18,8682.78,ACH,Completed
PAY-266,CUST-1162,INV-109481,2026-02-13,20244.52,Check,Partial
PAY-267,CUST-1149,INV-100354,2026-01-22,89578.71,ACH,Partial
PAY-268,CUST-1116,INV-102864,2026-01-20,19797.12,Check,Partial
PAY-269,CUST-1071,INV-108154,2026-01-16,18237.96,ACH,Completed
PAY-270,CUST-1154,INV-102223,2026-02-27,42275.31,Wire,Completed
PAY-271,CUST-1099,INV-103118,2026-02-21,27404.97,Check,Partial
PAY-272,CUST-1006,INV-102840,2026-02-26,68108.1,ACH,Partial
PAY-273,CUST-1002,INV-103718,2026-01-07,6428.11,ACH,Partial
PAY-274,CUST-1003,INV-108358,2026-02-18,54035.21,Wire,Partial
PAY-275,CUST-1007,INV-103626,2026-01-04,86385.34,ACH,Completed
PAY-276,CUST-1044,INV-106701,2026-02-11,44195.01,ACH,Completed
PAY-277,CUST-1147,INV-105418,2026-02-07,100311.88,ACH,Partial
PAY-278,CUST-1132,INV-101126,2026-02-03,50084.21,Check,Partial
PAY-279,CUST-1173,INV-100085,2026-02-05,7872.47,Wire,Partial
PAY-280,CUST-1068,INV-103777,2026-01-18,21706.11,Wire,Completed
PAY-281,CUST-1034,INV-103572,2026-02-02,34758.88,Wire,Completed
PAY-282,CUST-1192,INV-102714,2026-01-01,6857.89,Check,Completed
PAY-283,CUST-1142,INV-105969,2026-02-17,16155.92,ACH,Partial
PAY-284,CUST-1016,INV-102050,2026-01-25,18903.74,Check,Partial
PAY-285,CUST-1075,INV-102871,2026-02-14,29793.95,Wire,Completed
PAY-286,CUST-1173,INV-102926,2026-01-14,32898.63,Wire,Partial
PAY-287,CUST-1188,INV-101047,2026-01-11,22442.07,Wire,Completed
PAY-288,CUST-1170,INV-105593,2026-02-26,6540.93,Check,Completed
PAY-289,CUST-1121,INV-107827,2026-02-21,37004.38,Check,Completed
PAY-290,CUST-1078,INV-109433,2026-01-08,83685.18,ACH,Partial
PAY-291,CUST-1090,INV-102730,2026-03-01,80061.7,Check,Completed
PAY-292,CUST-1113,INV-108781,2026-02-11,112956.67,ACH,Partial
PAY-293,CUST-1021,INV-105876,2026-01-16,24928.1,ACH,Partial
PAY-294,CUST-1136,INV-103173,2026-02-28,51093.66,ACH,Completed
PAY-295,CUST-1046,INV-100029,2026-02-08,30782.85,Wire,Partial
PAY-296,CUST-1002,INV-103854,2026-02-06,11400.51,ACH,Partial
PAY-297,CUST-1179,INV-106610,2026-01-31,40975.84,Check,Partial
PAY-298,CUST-1030,INV-106346,2026-02-11,4654.91,Check,Partial
PAY-299,CUST-1012,INV-100723,2026-01-18,27791.73,Wire,Partial
PAY-300,CUST-1001,INV-102090,2026-02-26,54799.17,Wire,Partial
PAY-301,CUST-1110,INV-101575,2026-01-07,4340.76,Wire,Completed
PAY-302,CUST-1006,INV-102490,2026-01-04,5342.85,Check,Completed
PAY-303,CUST-1028,INV-102198,2026-02-01,13008.68,Check,Partial
PAY-304,CUST-1131,INV-107211,2026-01-31,16119.3,ACH,Partial
PAY-305,CUST-1131,INV-105712,2026-01-10,50305.78,Check,Partial
PAY-306,CUST-1087,INV-105376,2026-01-30,81703.52,Wire,Completed
PAY-307,CUST-1148,INV-103561,2026-02-19,63072.95,ACH,Completed
PAY-308,CUST-1172,INV-104045,2026-02-19,15277.12,ACH,Completed
PAY-309,CUST-1126,INV-101126,2026-02-04,6549.12,Wire,Completed
PAY-310,CUST-1155,INV-103964,2026-02-14,19410.74,ACH,Completed
PAY-311,CUST-1007,INV-109768,2026-01-31,38802.02,Wire,Completed
PAY-312,CUST-1041,INV-109609,2026-01-31,3677.87,Wire,Completed
PAY-313,CUST-1144,INV-104203,2026-02-15,36627.3,Wire,Completed
PAY-314,CUST-1136,INV-106472,2026-02-23,73135.17,Check,Partial
PAY-315,CUST-1188,INV-103405,2026-02-15,94080.92,Wire,Partial
PAY-316,CUST-1083,INV-109723,2026-02-02,22676.72,Wire,Partial
PAY-317,CUST-1068,INV-107736,2026-01-05,42165.51,ACH,Completed
PAY-318,CUST-1098,INV-104728,2026-01-10,16954.58,ACH,Completed
PAY-319,CUST-1040,INV-101833,2026-02-15,12423.62,Wire,Completed
PAY-320,CUST-1156,INV-104692,2026-02-20,45847.13,ACH,Partial
PAY-321,CUST-1053,INV-104521,2026-01-23,13976.85,Check,Partial
PAY-322,CUST-1159,INV-100754,2026-01-07,23841.18,Check,Completed
PAY-323,CUST-1192,INV-106659,2026-02-27,4544.76,ACH,Partial
PAY-324,CUST-1120,INV-103801,2026-02-16,71514.77,ACH,Partial
PAY-325,CUST-1042,INV-102531,2026-01-28,23402.27,ACH,Completed
PAY-326,CUST-1068,INV-101265,2026-01-21,92286.82,ACH,Partial
PAY-327,CUST-1114,INV-107844,2026-01-31,48277.47,ACH,Partial
PAY-328,CUST-1099,INV-108467,2026-02-10,27725.89,Check,Completed
PAY-329,CUST-1015,INV-108031,2026-01-27,17043.76,Wire,Partial
PAY-330,CUST-1148,INV-102041,2026-01-29,13725.98,ACH,Completed
PAY-331,CUST-1160,INV-108369,2026-01-10,43528.92,Wire,Completed
PAY-332,CUST-1153,INV-108862,2026-01-08,23455.3,ACH,Partial
PAY-333,CUST-1130,INV-100811,2026-01-09,46157.99,Wire,Completed
PAY-334,CUST-1022,INV-109758,2026-01-11,27766.5,ACH,Completed
PAY-335,CUST-1088,INV-108522,2026-01-22,40068.73,ACH,Partial
PAY-336,CUST-1181,INV-103555,2026-02-09,48966.2,Check,Completed
PAY-337,CUST-1083,INV-106696,2026-01-26,21274.28,Check,Partial
PAY-338,CUST-1046,INV-107437,2026-02-19,32945.08,Check,Partial
PAY-339,CUST-1117,INV-100173,2026-02-06,18097.77,Check,Partial
PAY-340,CUST-1163,INV-106620,2026-02-09,23342.58,ACH,Completed
PAY-341,CUST-1034,INV-108283,2026-01-02,2223.39,Check,Completed
PAY-342,CUST-1170,INV-102557,2026-02-19,7038.89,Wire,Completed
PAY-343,CUST-1160,INV-107039,2026-01-19,12299.46,Check,Completed
PAY-344,CUST-1004,INV-102648,2026-02-19,26001.47,Wire,Partial
PAY-345,CUST-1003,INV-100598,2026-02-21,4957.74,Wire,Completed
PAY-346,CUST-1057,INV-105664,2026-01-16,33763.03,ACH,Completed
PAY-347,CUST-1179,INV-102184,2026-01-04,18266.48,Check,Partial
PAY-348,CUST-1199,INV-102725,2026-02-18,44270.0,Check,Partial
PAY-349,CUST-1106,INV-104184,2026-02-07,23044.22,Wire,Partial
PAY-350,CUST-1177,INV-105713,2026-02-13,65825.5,Wire,Completed
PAY-351,CUST-1154,INV-109258,2026-01-07,4316.43,Check,Completed
PAY-352,CUST-1137,INV-105766,2026-02-24,20006.23,Wire,Completed
PAY-353,CUST-1122,INV-108535,2026-01-14,10572.31,ACH,Completed
PAY-354,CUST-1061,INV-102678,2026-01-12,35195.66,Check,Completed
PAY-355,CUST-1121,INV-101341,2026-01-21,12417.89,ACH,Completed
PAY-356,CUST-1147,INV-108226,2026-02-21,7585.27,ACH,Completed
PAY-357,CUST-1031,INV-104430,2026-02-03,53159.63,Check,Partial
PAY-358,CUST-1047,INV-104174,2026-01-21,19790.71,Check,Partial
PAY-359,CUST-1176,INV-107300,2026-02-05,25227.94,Wire,Completed
